id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n130_803a17e0-7fe6-45bb-8797-467118166783.vrp,130,31.0,1877.0,9214508.62735447101294994354248046875,46.0,9673051.23039459250867366790771484375,61093.0,8987671.4532501511275768280029296875,996.0,9052874.27792019955813884735107421875,44660.0,1862.0,8937964.97125129215419292449951171875,44449.0,9604319.7177554033696651458740234375,72013.0,8942448.1549543440341949462890625,1685.0,8989826.9714684784412384033203125,
problem_n130_83f91bad-1dec-4257-a42f-de7ab885f3b8.vrp,130,46.0,1847.0,7315998.311604328453540802001953125,31.0,7970685.746656625531613826751708984375,65591.0,7148248.74709043838083744049072265625,1018.0,7204926.106052943505346775054931640625,46343.0,1782.0,7155428.253231066279113292694091796875,46653.0,7457089.47896856628358364105224609375,74152.0,7048300.76513335667550563812255859375,971.0,7230715.024835354648530483245849609375,
problem_n130_883a26cb-6a66-4b9b-9161-a67b73ed2cc1.vrp,130,31.0,1899.0,7078375.030646265484392642974853515625,47.0,7599500.835447414778172969818115234375,68076.0,7103082.522147737443447113037109375,1153.0,7216718.88835867308080196380615234375,44872.0,1737.0,7094933.72192796505987644195556640625,45125.0,7732733.09409820474684238433837890625,68866.0,6896235.243108051829040050506591796875,1585.0,7018236.266882319934666156768798828125,
problem_n130_d61e2716-9ae6-4884-8673-60fd89f6ee4d.vrp,130,47.0,1529.0,5649312.663874889723956584930419921875,47.0,6177322.866578898392617702484130859375,67922.0,5555270.887747320346534252166748046875,981.0,5810477.105174058116972446441650390625,44055.0,1524.0,5581805.805486614815890789031982421875,44433.0,6490002.790063356049358844757080078125,68449.0,5443737.15754254721105098724365234375,884.0,5666795.780014097690582275390625,
problem_n130_e76146e5-229f-4218-a72d-063feef8f235.vrp,130,47.0,1914.0,7511166.2435684837400913238525390625,76.0,8083399.63740843348205089569091796875,68242.0,7290130.35858054459095001220703125,1251.0,7372377.14442498981952667236328125,47057.0,1803.0,7480034.35376642458140850067138671875,45904.0,7991576.082348984666168689727783203125,67065.0,7275840.328443877398967742919921875,839.0,7291137.7471530102193355560302734375,
problem_n130_eb2c61bb-ae50-4335-9f37-3a34517d7fee.vrp,130,37.0,1612.0,6387850.951646663248538970947265625,33.0,7333274.709165506996214389801025390625,69545.0,6386116.522933386266231536865234375,1042.0,6420454.12565326504409313201904296875,46524.0,1598.0,6437082.111993511207401752471923828125,46749.0,7114416.84795916266739368438720703125,70386.0,6152288.6561382748186588287353515625,1425.0,6303335.9655354581773281097412109375,
problem_n130_ed9a37c7-cf24-4bce-b844-3e27e49fe6af.vrp,130,54.0,1823.0,7581970.205305212177336215972900390625,57.0,8206763.748402957804501056671142578125,65782.0,7509125.664007027633488178253173828125,912.0,7735373.218521439470350742340087890625,44610.0,1819.0,7602359.701871306635439395904541015625,44940.0,8010386.86647559702396392822265625,69110.0,7430238.82283346168696880340576171875,1241.0,7352458.484160541556775569915771484375,
problem_n130_fab0a9c0-6e03-4fd3-b14e-a79bf39cf17d.vrp,130,47.0,1828.0,8246578.227068900130689144134521484375,47.0,8897772.1153000891208648681640625,66534.0,8202245.45485048927366733551025390625,822.0,8502411.47169424034655094146728515625,47175.0,1838.0,8269821.25279338471591472625732421875,51995.0,8926301.580253697931766510009765625,75845.0,8133391.143907397054135799407958984375,1244.0,8146570.452164049260318279266357421875,
id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n140_494248a2-9f59-4432-abd3-96fa426efb16.vrp,140,119.0,2453.0,8790464.77916127629578113555908203125,52.0,9599512.14988156594336032867431640625,92192.0,8907111.10053100250661373138427734375,1521.0,8921376.5710795223712921142578125,54165.0,2184.0,8857453.781413443386554718017578125,55537.0,9634373.79462994448840618133544921875,94314.0,8658209.573356963694095611572265625,1438.0,8733565.5298330597579479217529296875,
